Name	Set	Imgfile	Type	Keyword	Class
Base, We Need Help!	Core	baseweneedhelp	Leader Action		
Giant Punt	Core	giantpunt	Combat Move		
Destroy the City	Core	destroythecity	Leader Action		
Mechanical Aiming	Core	mechanicalaiming	Combat Shoot	Robot	
Upgrade!	Core	upgrade	Leader Action	Robot	
Innocent Bystander	Core	innocentbystander	Leader Action		
Injure	Core	injure	Combat Other		
Reinforcements	Core	reinforcements	Leader Action		
Aim	Core	aim	Combat Shoot		
Armored Car	Core	armoredcar	Vehicle		
Attack Plane	Core	attackplane	Vehicle		
Compel	Core	compel	Combat Move		
Deny Entry	Core	denyentry	Combat Move		
Dodge	Core	dodge	Combat Other		
Dragon Punch	Core	dragonpunch	Combat Bonus		
Elbow Clan	Core	elbowclan	Ally		Mook
Escape	Core	escape	Combat Move		
Evade	Core	evade	Combat Other		
Expel	Core	expel	Combat Move		
Flash Entering	Core	flashentering	Combat Move		
Hanzo's Katana	Core	hanzoskatana	Equipment		
Hidrer Soldiers	Core	hirdrersoldiers	Ally		Mook
Immobile	Core	immobile	Combat Bonus		
Invade	Core	invade	Combat Move		
Laser Shot	Core	lasershot	Combat Shoot		
Leader Intervention	Core	leaderintervnetion	Leader Action		
Living Baseball	Core	Livingbaseball	Ally		Robot
Mama Help	Core	mamahelp	Leader Action		
Marksmanship	Core	marksmanship	Combat Shoot		
Mass Produced Katanas	Core	massproducedkatanas	Equipment	Elbow Clan	
Kick	Core	kick	Combat Bonus		
Master Healing	Core	masterhealing	Leader Action		
Mortal Combat Hammer	Core	mortalcombathammer	Equipment		
Orbitron	Core	Orbitron	Ally		Robot
Punch	Core	punch	Combat Bonus		
Putty Patrollers	Core	puttypatrollers	Ally		Mook
Run	Core	run	Combat Move		
Scare	Core	scare	Combat Move		
Sly Cat	Core	slycat	Ally		Animal
Target an Enemy	Core	targetanenemy	Combat Shoot		
Turtle	Core	turtle	Ally		Animal
Wasp Swarm	Core	waspswarm	Ally		Animal
Recruitment	Core	recruitment	Leader Action		
Workshop	Core	workshop	Leader Action		
Beta	Core	beta	Ally		Robot
Doctor Obular	Core	doctorobular	Ally		Alien
Military Soldier	Core	militarysoldier	Ally		Soldier
Military Commander	Core	militarycommander	Ally		Soldier
Artillery Officer	Core	artilleryofficer	Ally		Soldier
Frighten	Core	frighten	Combat Move		
Modoreddo	Excalibur	modoreddo,mechaeagle	Villain	Black Sentai	Villain/Mecha
Benimaru Shima	Excalibur	benimarushima,sirransuroto	Hero	Yellow Sentai	Hero/Changed
Black Griffon	Excalibur	blackgriffon	Vehicle	Black Sentai	
Excalibur	Excalibur	excalibur	Equipment	Iori Saitama	
Green Steed	Excalibur	greeensteed	Vehicle	Green Sentai	
Iori Saitama	Excalibur	iorisaitama,kingasa	Hero	Red Sentai	Hero/Changed
Kyo Spiegel	Excalibur	kyospiegel,sirgarahaddo	Hero	Green Sentai	Hero/Changed
